vbd_rank,tier,player_name,position,team,shrunk_ppg,vbd
129,11,Khalil Shakir,WR,BUF,9.706994777074192,-29.334471530366336
130,11,Emeka Egbuka,WR,TB,9.688564051518794,-29.647793864808094
131,11,Alec Pierce,WR,IND,9.658331747433383,-30.16174303426008
132,11,Jonnu Smith,TE,PIT,7.500292249785723,-30.535117283527793
133,11,Jaxson Dart,QB,NYG,14.85322989181798,-31.154795919547148
134,11,Romeo Doubs,WR,GB,9.548303913493738,-32.032216211234044
135,11,Oronde Gadsden II,TE,LAC,7.406031344656485,-32.13755267072483
136,11,Josh Downs,WR,IND,9.511127288569355,-32.66421883494856
137,12,C.J. Stroud,QB,HOU,14.508636857766666,-37.01287749841949
138,12,Kareem Hunt,RB,KC,8.985042930499043,-39.62848051071232
139,12,Tyler Higbee,TE,LA,6.960391908954495,-39.71342307765866
140,12,Jerry Jeudy,WR,CLE,9.057724311075471,-40.372069452344576
141,12,Theo Johnson,TE,NYG,6.904313183567182,-40.66676140924299
142,12,Taysom Hill,TE,NO,6.8954352541882304,-40.81768620868516
143,12,Calvin Ridley,WR,TEN,9.00342031271356,-41.295237424497074
144,12,Logan Thomas,TE,WAS,6.8603026471721,-41.41494052795938
145,12,AJ Barner,TE,SEA,6.795283575916974,-42.52026473929652
146,12,Brenton Strange,TE,JAX,6.76623299510807,-43.01412461304788
147,12,Chig Okonkwo,TE,TEN,6.744383602985678,-43.385564279128545
148,12,Justin Fields,QB,NYJ,14.040618701496642,-44.96918615500989
149,12,Alexander Mattison,RB,LV,8.617477053932037,-45.87710041235143
